-0.0000024705	-0.0000005596	-0.0000014728	0.0000009282		-0.0000025217	-0.0000005561	-0.0000014516	0.0000009577		-0.0000024972	-0.0000005585	-0.0000014530	0.0000009474		-0.0000025002	-0.0000005538	-0.0000014493	0.0000009294		-0.0000024961	-0.0000005558	-0.0000014456	0.0000009592
-0.0000024696	-0.0000005593	-0.0000014732	0.0000009662		-0.0000025207	-0.0000005564	-0.0000014519	0.0000009736		-0.0000024963	-0.0000005572	-0.0000014532	0.0000009659		-0.0000024993	-0.0000005534	-0.0000014498	0.0000009642		-0.0000024952	-0.0000005560	-0.0000014457	0.0000009610
-0.0000024688	-0.0000005591	-0.0000014730	0.0000009564		-0.0000025198	-0.0000005565	-0.0000014518	0.0000009542		-0.0000024956	-0.0000005574	-0.0000014532	0.0000009459		-0.0000024984	-0.0000005534	-0.0000014498	0.0000009526		-0.0000024944	-0.0000005559	-0.0000014459	0.0000009366
-0.0000024680	-0.0000005590	-0.0000014730	0.0000009340		-0.0000025188	-0.0000005566	-0.0000014518	0.0000009289		-0.0000024948	-0.0000005568	-0.0000014533	0.0000009170		-0.0000024974	-0.0000005536	-0.0000014496	0.0000009256		-0.0000024935	-0.0000005554	-0.0000014460	0.0000009080
-0.0000024672	-0.0000005585	-0.0000014730	0.0000009094		-0.0000025177	-0.0000005570	-0.0000014520	0.0000009040		-0.0000024938	-0.0000005566	-0.0000014532	0.0000008886		-0.0000024965	-0.0000005535	-0.0000014495	0.0000008975		-0.0000024926	-0.0000005556	-0.0000014460	0.0000008799
-0.0000024663	-0.0000005582	-0.0000014730	0.0000008893		-0.0000025166	-0.0000005578	-0.0000014521	0.0000008813		-0.0000024928	-0.0000005570	-0.0000014531	0.0000008623		-0.0000024957	-0.0000005538	-0.0000014495	0.0000008709		-0.0000024918	-0.0000005553	-0.0000014459	0.0000008530
-0.0000024653	-0.0000005587	-0.0000014730	0.0000008663		-0.0000025157	-0.0000005582	-0.0000014521	0.0000008555		-0.0000024919	-0.0000005566	-0.0000014529	0.0000008347		-0.0000024948	-0.0000005544	-0.0000014496	0.0000008425		-0.0000024909	-0.0000005553	-0.0000014459	0.0000008229
-0.0000024643	-0.0000005587	-0.0000014730	0.0000008390		-0.0000025148	-0.0000005575	-0.0000014521	0.0000008261		-0.0000024911	-0.0000005555	-0.0000014529	0.0000008064		-0.0000024937	-0.0000005549	-0.0000014496	0.0000008100		-0.0000024900	-0.0000005541	-0.0000014459	0.0000007919
-0.0000024633	-0.0000005587	-0.0000014730	0.0000008137		-0.0000025139	-0.0000005571	-0.0000014520	0.0000007982		-0.0000024901	-0.0000005553	-0.0000014529	0.0000007792		-0.0000024926	-0.0000005556	-0.0000014494	0.0000007802		-0.0000024890	-0.0000005539	-0.0000014459	0.0000007632
-0.0000024623	-0.0000005599	-0.0000014730	0.0000007877		-0.0000025130	-0.0000005565	-0.0000014519	0.0000007693		-0.0000024890	-0.0000005549	-0.0000014528	0.0000007487		-0.0000024916	-0.0000005568	-0.0000014493	0.0000007519		-0.0000024880	-0.0000005532	-0.0000014458	0.0000007309
